Name,Role,Company,Rating,Reviews,Price,Country,Bio,Skills,Top Mentor,Quick Responder,Spots Left,url
Benonica Angelova🇳🇱,Regional Manager EMEA,Booking.com,0,0,180,Netherlands,"👋 Hi there! I’m Benonica, CS Leader at Booking.com. With 16 years experience in people management & coaching, I guide people to unlock their potentia...","Leadership, Communication, People Management, Influencing, Presentation Skills, Career Coaching",No,Yes,,https://mentorcruise.com/mentor/benonicaangelova/?queryID=575d7d03a4e46a4c32cca3d456a17021&source=search
Sai Kiran Raparthi,Senior Engineering Manager,American Express,0,0,120,United Kingdom,"I'm Sai Kiran, a seasoned engineering leader with over 13 years of experience in building and leading backend, frontend, and data-driven teams across ...","Coaching, Mentorship, Full Stack, React, Java, Leadership",No,Yes,,https://mentorcruise.com/mentor/saikiranraparthi/?queryID=575d7d03a4e46a4c32cca3d456a17021&source=search
Nik Andriiash🇮🇪,Lead Technical Program Manager,Mastercard,5,6,70,Ireland,"Hi, I'm Nik, a Lead Technical Program Manager with 11 years at Mastercard, Boston MBA, and started my career as a software developer. I’ve interviewed...","Program Management, Technical Interviews, System Design, Leadership, Conflict Management, Resume",No,Yes,,https://mentorcruise.com/mentor/nikandriiash/?queryID=575d7d03a4e46a4c32cca3d456a17021&source=search
Dan Carino🇸🇪,Senior Product Designer,Klarna,5,4,100,Sweden,"I can help you: - Improve your resume and portfolio - Practice portfolio presentation, whiteboard challenge, app critique, behavioral interviews - Adv...","Swedish, E-commerce, Design Strategy, User Experience Design, UX/UI Design, UX Design",No,Yes,,https://mentorcruise.com/mentor/dancarino/?queryID=575d7d03a4e46a4c32cca3d456a17021&source=search
Chris Hammerschmidt🇳🇱,ML Research Scientist and Founder,APTA Technologies,5,24,230,Netherlands,"As a mentor with a background in both research and industry, I have a wealth of experience of 10+ years to draw upon when guiding individuals through ...","Machine Learning, Data Science, Product Market Fit, PhD Supervision, Deep Learning, Startups",No,Yes,,https://mentorcruise.com/mentor/chrishammerschmidt/?queryID=575d7d03a4e46a4c32cca3d456a17021&source=search
Abhishek Jakhar🇦🇪,Senior Software Engineer,Coinbase,5,76,100,United Arab Emirates,Hello! I'm a passionate Frontend Engineer at Coinbase with a deep love for mentoring engineers and guiding them through their professional journeys. W...,"React, CSS, Web Development, JavaScript, Interview, Frontend",No,Yes,,https://mentorcruise.com/mentor/abhishekjakhar/?queryID=575d7d03a4e46a4c32cca3d456a17021&source=search
Gaurav Verma,Senior Data Engineer,Amazon,5,42,180,United Kingdom,"Supercharge your transition into data engineering with Gaurav, a passionate Senior Data Engineer at Amazon. With 10 years of experience, Gaurav excels...","Data Engineering, AWS, Data Analytics, Big Data, Consulting, Data",No,Yes,,https://mentorcruise.com/mentor/gauravverma/?queryID=575d7d03a4e46a4c32cca3d456a17021&source=search
Mladen Ruzicic🇨🇭,Senior Frontend Developer,"ZF, Ex-Shopify",5,39,150,Switzerland,"👋 Hello, my name is Mladen. I am a software engineer based in Switzerland, with more than ten years of experience in software engineering. I have a p...","Frontend, JavaScript, Typescript, NodeJS, Express, React",No,Yes,,https://mentorcruise.com/mentor/mladenruzicic/?queryID=575d7d03a4e46a4c32cca3d456a17021&source=search
Mike Poole,Fullstack Developer,Yachting Limited,5,31,200,United Kingdom,"In my 26 year career as a full stack developer I have been fortunate to develop websites for a large range of companies including Microsoft, Bank of S...","HTML, CSS, SASS, SQL, Typescript, JavaScript",No,Yes,,https://mentorcruise.com/mentor/MikePoole/?queryID=575d7d03a4e46a4c32cca3d456a17021&source=search
Krunal Parmar,Engineering Manager,Yelp,5,18,150,United Kingdom,🚀 Accelerate Your Software Engineering Career with Proven Mentorship 🔥 Are you a software developer aiming to become better at what you do? 🎯 If yo...,"Software Engineering, Data Structures, Java, Python, Communication, Interview",No,Yes,,https://mentorcruise.com/mentor/krunalparmar/?queryID=575d7d03a4e46a4c32cca3d456a17021&source=search
